"Reef","pop.DHW2020","pop.maxDHW","pop.meanDHW","pop.recent.maxDHW","pop.recent.meanDHW","pop.DHW3","pop.DHW4","pop.DHW6","pop.DHW8","pop.DHW9","pop.returnDHW3","pop.returnDHW4","pop.returnDHW6","pop.meanSST","pop.minSST","pop.maxSST","pop.varSST","pop.MMM"
"Osprey",8.719999805,11.8199997358024,2.66555549597574,11.8199997358024,6.74599984921514,11,6,3,3,3,3.1,5.2,2,26.9687175872662,24.1807692307692,30.1726923076923,2.37683230923679,29.01
"Bougainville",10,11.11,2.69111111111111,11.11,6.598,12,8,6,3,3,3.09090909090909,4.71428571428571,3.6,26.8160141228206,23.9,30.1342307692308,2.47254082064068,28.88
"Moore",9.05666666666667,11.3966666666667,2.17583333333333,11.3966666666667,5.89333333333333,7.66666666666667,6,5,2,1.66666666666667,5.04166666666667,6.6,5.75,26.7833653523537,23.986282051282,29.9520512820513,2.33649924296623,28.8033333333333
"Holmes",9.5499998945,10.7549998825416,2.20833330843287,10.7549998825416,5.37899994011968,8,6,5,3,2.5,4.71428571428571,6.6,8.25,26.6035302980309,23.6498076923077,29.9071153846154,2.55692197079153,28.755
"Chilcott",6.649999851,9.67999978363514,1.93916662332291,9.67999978363514,5.40999987907708,10,6,3,3,1,3.66666666666667,6.6,2,26.5345051233056,23.6880769230769,29.5903846153846,2.26675530026812,28.54
"Herald",7.959999822,11.9199997335672,2.05499995406717,11.9199997335672,5.71999987214803,6,6,4,2,1,6.6,6.6,6,26.5521776294191,23.6623076923077,29.7926923076923,2.42345475029911,28.62
"Lihou",7.719999827,11.5099997427315,2.61777771926589,11.1199997514486,5.44399987831712,9,8,5,3,3,4.125,4.71428571428571,4,26.279227801644,23.4046153846154,29.4573076923077,2.38998006703359,28.35
"Flinders",6.583333282,10.6066665865729,1.84805554172024,10.6066665865729,4.4539999666065,7.66666666666667,5,2.66666666666667,1,1,4.97619047619048,8.25,17,26.3096747827924,23.2902564102564,29.7185897435897,2.73664679711196,28.57
"Marion",6.1499999305,12.2599998581782,2.29361108534452,11.3749998728186,4.33299994881451,8.5,7,3,2,2,4.41964285714286,5.5,10.6666666666667,25.8851024148508,22.9032692307692,29.1805769230769,2.63461902553641,28.09
"Frederick",7.005,12.525,2.37013888888889,12.525,4.473,9.5,6,4,2.5,1,4.01388888888889,5,5.33333333333333,25.4570275457847,22.4846153846154,28.7984615384615,2.62552983564211,27.69
"Wreck",5.706666539,12.7466663817565,2.55407401698607,12.7466663817565,3.50333325502774,13.3333333333333,10.6666666666667,5,2,1.33333333333333,2.76068376068376,3.52592592592593,7.1,25.0394954091419,22.0053846153846,28.3896153846154,2.76494959868692,27.2633333333333
